Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
1319,Howick Primary School,8,P,8,P,0,0,0,285,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1320,Huapai District School,9,Q,9,Q,0,0,0,430,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
1662,Huia Range School,3,G,2,F,-1,-1,0,257,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2173,Huiakama School,6,N,9,Q,3,3,0,15,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2175,Huirangi School,2,F,4,J,2,4,0,90,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1749,Hukanui School,10,Z,10,Z,0,0,0,663,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
435,Hukarere College,1,C,2,F,1,3,78,78,Secondary (Year 9-15),State: Integrated,Hastings District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1017,Hukerenui School Years 1-8,5,M,5,M,0,0,0,106,Full Primary,State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2366,Hunterville Consolidated School,7,O,5,M,-2,-2,0,163,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
119,Huntly College,1,C,1,B,0,-1,306,306,Secondary (Year 9-15),State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1751,Huntly School (Waikato),1,C,1,B,0,-1,0,241,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1752,Huntly West School,1,A,1,A,0,0,0,139,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1321,Hunua School,7,O,9,Q,2,2,0,112,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2367,Hurleyville School,4,L,5,M,1,1,0,9,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
311,Hurunui College,7,O,7,O,0,0,82,223,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1018,Hurupaki School,8,P,8,P,0,0,0,358,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
2862,Hutt Central School,8,P,8,P,0,0,0,290,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
2863,Hutt Intermediate,8,P,8,P,0,0,0,622,Intermediate,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
4158,Hutt International Boys' School,10,Z,10,Z,0,0,460,650,Secondary (Year 7-15),State: Integrated,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
261,Hutt Valley High School,8,P,8,P,0,0,1560,1560,Secondary (Year 9-15),State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3384,Ilam School,7,O,6,N,-1,-1,0,461,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2581,Ilminster Intermediate,2,E,1,C,-1,-2,0,361,Intermediate,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3198,Inangahua Junction School,6,N,6,N,0,0,0,7,Contributing,State,Buller District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
177,Inglewood High School,6,N,7,O,1,1,415,415,Secondary (Year 9-15),State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2177,Inglewood School,5,M,7,O,2,2,0,313,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1753,Insoll Avenue School,1,B,1,A,0,-1,0,283,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
3966,Invercargill Middle School,3,H,3,H,0,0,0,181,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
224,Iona College,9,Q,10,Z,1,1,212,269,Secondary (Year 7-15),State: Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2582,Irongate School,1,A,1,A,0,0,0,277,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3969,Isla Bank School,8,P,7,O,-1,-1,0,38,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2865,Island Bay School,10,Z,10,Z,0,0,0,450,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
3385,Isleworth School,6,N,5,M,-1,-1,0,275,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
100,James Cook High School,1,C,1,B,0,-1,1216,1216,Secondary (Year 9-15),State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
2368,James Cook School,2,E,2,E,0,0,0,185,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
552,James Hargest College,8,P,8,P,0,0,1340,1845,Secondary (Year 7-15),State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1755,James Street School,2,F,2,F,0,0,0,251,Contributing,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1322,Jean Batten School,2,D,1,B,-1,-2,0,445,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
387,John McGlashan College,10,Z,10,Z,0,0,402,501,Secondary (Year 7-15),State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
532,John Paul College,7,O,7,O,0,0,777,1097,Secondary (Year 7-15),State: Integrated,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
304,John Paul II High School,4,K,6,N,2,3,177,177,Secondary (Year 9-15),State: Integrated,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2866,Johnsonville School,9,Q,9,Q,0,0,0,327,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
453,Kadimah School,10,Z,8,P,-2,-2,0,178,Full Primary,State: Integrated,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
1019,Kaeo School,1,A,2,E,1,4,0,120,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1756,Kaharoa School,9,Q,10,Z,1,1,0,186,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
660,Kahurangi School,2,F,3,G,1,1,0,152,Full Primary,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
2868,Kahutara School,7,O,8,P,1,1,0,109,Full Primary,State,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2369,Kai Iwi School,5,M,6,N,1,1,0,94,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3388,Kaiapoi Borough School,6,N,5,M,-1,-1,0,372,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
314,Kaiapoi High School,5,M,7,O,2,2,598,598,Secondary (Year 9-15),State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
3389,Kaiapoi North School,5,M,7,O,2,2,0,422,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1323,Kaiaua School,5,M,4,J,-1,-3,0,43,Full Primary,State,Hauraki District,Waikato Region,Auckland South,Coromandel,Hauraki-Waikato
1757,Kaihere School,7,O,7,O,0,0,0,47,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1020,Kaihu Valley School,2,F,3,G,1,1,0,23,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1175,Kaikohe Christian School,3,G,2,D,-1,-3,75,186,Composite (Year 1-15),State: Integrated,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1021,Kaikohe East School,1,A,1,A,0,0,0,229,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1022,Kaikohe Intermediate,1,B,1,A,0,-1,0,133,Intermediate,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1023,Kaikohe West School,1,B,1,A,0,-1,0,353,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3753,Kaikorai School,9,Q,9,Q,0,0,0,301,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
381,Kaikorai Valley College,5,M,5,M,0,0,365,483,Secondary (Year 7-15),State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
307,Kaikoura High School,4,L,4,L,0,0,145,190,Secondary (Year 7-15),State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,Te Tai Tonga
3391,Kaikoura Primary School,5,M,3,I,-2,-4,0,79,Contributing,State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,Te Tai Tonga
3392,Kaikoura Suburban School,7,O,5,M,-2,-2,0,90,Contributing,State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,Te Tai Tonga
1758,Kaimai School,7,O,8,P,1,1,0,72,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
2178,Kaimata School,6,N,5,M,-1,-1,0,93,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1759,Kaingaroa Forest School,1,A,1,A,0,0,0,27,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
3387,Kaingaroa School (Chatham Islands),5,M,4,L,-1,-1,0,9,Full Primary,State,Chatham Islands Territory,Chatham Is. County,Christchurch,Rongotai,Te Tai Tonga
1024,Kaingaroa School (Kaitaia),3,G,3,H,0,1,0,98,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1760,Kaipaki School,9,Q,8,P,-1,-1,0,73,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
26,Kaipara College,7,O,7,O,0,0,604,604,Secondary (Year 9-15),State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
1324,Kaipara Flats School,9,Q,9,Q,0,0,0,81,Contributing,State,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
2370,Kairanga School,8,P,8,P,0,0,0,172,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
238,Kaitaia Abundant Life School,2,F,2,F,0,0,87,222,Composite (Year 1-15),State: Integrated,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3,Kaitaia College,2,E,2,E,0,0,771,771,Secondary (Year 9-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1025,Kaitaia Intermediate,2,D,1,C,-1,-1,0,218,Intermediate,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1026,Kaitaia School,1,C,1,C,0,0,0,274,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3754,Kaitangata School,4,J,4,K,0,1,0,94,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
1761,Kaitao Intermediate,2,F,2,E,0,-1,0,390,Intermediate,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2584,Kaiti School,1,A,1,B,0,1,0,289,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2371,Kaitieke School,8,P,10,Z,2,2,0,9,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1593,Kaitoke School (Claris),3,G,3,I,0,2,0,29,Full Primary,State,Auckland- Great Barrier,Auckland Region,Auckland South,Auckland Central,Te Tai Tokerau
2372,Kaitoke School (Wanganui),7,O,5,M,-2,-2,0,99,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1027,Kaiwaka School,4,K,4,J,0,-1,0,94,Contributing,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1762,Kaka Street Special School,4,J,5,M,1,3,35,73,Special School,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
2373,Kakahi School,2,F,4,J,2,4,0,22,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
3755,Kakanui School,4,K,5,M,1,2,0,19,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2374,Kakaramea School,5,M,5,M,0,0,0,85,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2375,Kakatahi School,3,G,2,D,-1,-3,0,6,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
13,Kamo High School,5,M,4,K,-1,-2,641,641,Secondary (Year 9-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1029,Kamo Intermediate,5,M,5,M,0,0,0,550,Intermediate,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1030,Kamo School,5,M,5,M,0,0,0,417,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
3393,Kaniere School,7,O,7,O,0,0,0,127,Contributing,State,Westland District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2871,Kapanui School,8,P,9,Q,1,1,0,557,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
247,Kapiti College,8,P,8,P,0,0,1363,1363,Secondary (Year 9-15),State,Kapiti Coast District,Wellington Region,Wellington,Mana,Te Tai Hauauru
2873,Kapiti School,5,M,4,L,-1,-1,0,208,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
2095,Kaponga School,4,K,6,N,2,3,0,112,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1325,Karaka School,8,P,9,Q,1,1,0,234,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
300,Karamea Area School,5,M,4,L,-1,-1,14,70,Composite (Year 1-15),State,Buller District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
229,Karamu High School,4,J,4,J,0,0,804,804,Secondary (Year 9-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1763,Karangahake School,2,F,3,H,1,2,0,43,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1764,Karapiro School,9,Q,8,P,-1,-1,0,82,Contributing,State,Waipa District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1031,Karetu School,3,H,2,F,-1,-2,0,54,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3756,Karitane School,8,P,6,N,-2,-2,0,27,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
2874,Karori Normal School,10,Z,10,Z,0,0,0,745,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
2875,Karori West Normal School,8,P,10,Z,2,2,0,461,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3394,Karoro School,8,P,8,P,0,0,0,167,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
117,Katikati College,6,N,6,N,0,0,599,836,Secondary (Year 7-15),State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Coromandel,Waiariki
1765,Katikati Primary School,5,M,4,L,-1,-1,0,507,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Coromandel,Waiariki
1326,Kaukapakapa School,8,P,7,O,-1,-1,0,257,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
1327,Kauri Park School,7,O,7,O,0,0,0,335,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1032,Kaurihohore School,6,N,7,O,1,1,0,178,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1328,Kaurilands School,8,P,8,P,0,0,0,739,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
536,Kavanagh College,8,P,8,P,0,0,569,788,Secondary (Year 7-15),State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1766,Kawaha Point School,4,K,3,I,-1,-2,0,305,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1033,Kawakawa Primary School,1,B,2,D,1,2,0,225,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
655,Kawerau Putauaki School,2,E,2,E,0,0,0,189,Contributing,State,Kawerau District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1770,Kawerau South School,1,B,1,B,0,0,0,313,Contributing,State,Kawerau District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1771,Kawhia School,1,C,4,J,3,7,0,33,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1772,Kea Street Specialist School,2,E,2,F,0,1,21,64,Special School,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1329,Kedgley Intermediate,2,E,2,E,0,0,0,722,Intermediate,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
2378,Keith Street School,2,D,2,F,0,2,0,229,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2876,Kelburn Normal School,10,Z,10,Z,0,0,0,286,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
2877,Kelson School,10,Z,9,Q,-1,-1,0,199,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
83,Kelston Boys' High School,4,J,3,H,-1,-2,814,814,Secondary (Year 9-15),State,Auckland- Whau,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
503,Kelston Deaf Education Centre,3,H,2,F,-1,-2,70,111,Special School,State,Auckland- Whau,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
84,Kelston Girls' College,3,I,2,F,-1,-3,517,517,Secondary (Year 9-15),State,Auckland- Whau,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1330,Kelston Intermediate,3,H,2,F,-1,-2,0,261,Intermediate,State,Auckland- Whau,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1331,Kelston School,3,I,3,G,0,-2,0,332,Contributing,State,Auckland- Whau,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1332,Kelvin Road School,1,A,1,A,0,0,0,395,Contributing,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2878,Kenakena School,8,P,7,O,-1,-1,0,529,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1775,Kerepehi School,1,B,2,E,1,3,0,59,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1424,Kereru Park Campus,1,C,1,C,0,0,0,99,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2585,Kereru School,8,P,9,Q,1,1,0,32,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
5,Kerikeri High School,7,O,6,N,-1,-1,1022,1405,Secondary (Year 7-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1034,Kerikeri Primary School,7,O,5,M,-2,-2,0,538,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2879,Khandallah School,10,Z,10,Z,0,0,0,402,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
631,Kia Aroha College,1,B,1,B,0,0,196,284,Secondary (Year 7-15),State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1776,Kihikihi School,3,G,3,H,0,1,0,146,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2880,Kilbirnie School,10,Z,10,Z,0,0,0,231,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
2379,Kimbolton School,7,O,5,M,-2,-2,0,78,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2746,Kimi Ora Community School,1,A,1,A,0,0,0,86,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
514,Kimi Ora School,8,P,8,P,0,0,20,50,Special School,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
1777,Kimihia School,2,F,3,G,1,1,0,349,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
383,Kings High School (Dunedin),6,N,7,O,1,1,962,962,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1333,Kingsford School,1,B,1,C,0,1,0,359,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
603,KingsGate School,5,M,5,M,0,0,0,60,Full Primary,State: Integrated,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
633,Kingsview School,10,Z,10,Z,0,0,0,32,Full Primary,State: Integrated,Queenstown-Lakes District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
